20250001,69
20250002,98
20250003,51
20250004,76
20250005,53
20250006,56
20250007,96
20250008,61
20250009,93
20250010,53
20250011,67
20250012,79
20250013,65
20250014,78
20250015,85
20250016,85
20250017,50
20250018,78
20250019,84
20250020,70
20250021,71
20250022,95
20250023,91
20250024,65
20250025,61
20250026,91
20250027,79
20250028,75
20250029,80
20250030,70
20250031,77
20250032,99
20250033,97
20250034,95
20250035,96
20250036,57
20250037,59
20250038,87
20250039,53
20250040,71
20250041,63
20250042,76
20250043,95
20250044,96
20250045,89
20250046,50
20250047,84
20250048,70
20250049,54
20250050,93
20250051,89
20250052,91
20250053,63
20250054,63
20250055,100
20250056,89
20250057,95
20250058,79
20250059,83
20250060,84
20250061,78
20250062,68
20250063,80
20250064,57
20250065,65
20250066,93
20250067,66
20250068,74
20250069,84
20250070,80
20250071,72
20250072,86
20250073,50
20250074,60
20250075,92
20250076,73
20250077,98
20250078,82
20250079,63
20250080,52
20250081,71
20250082,77
20250083,100
20250084,53
20250085,80
20250086,52
20250087,94
20250088,59
20250089,79
20250090,87
20250091,83
20250092,78
20250093,84
20250094,88
20250095,65
20250096,79
20250097,54
20250098,61
20250099,70
20250100,92
