20250083,100,A
20250055,100,A
20250032,99,A
20250002,98,A
20250077,98,A
20250033,97,B
20250007,96,B
20250035,96,B
20250044,96,B
20250022,95,B
20250034,95,B
20250043,95,B
20250057,95,B
20250087,94,B
20250050,93,B
20250009,93,C
20250066,93,C
20250075,92,C
20250100,92,C
20250052,91,C
20250023,91,C
20250026,91,C
20250045,89,C
20250051,89,C
20250056,89,C
20250094,88,C
20250090,87,C
20250038,87,C
20250072,86,C
20250016,85,C
20250015,85,C
20250093,84,C
20250060,84,C
20250047,84,C
20250069,84,C
20250019,84,C
20250059,83,C
20250091,83,C
20250078,82,C
20250085,80,C
20250070,80,C
20250029,80,C
20250063,80,C
20250012,79,C
20250058,79,C
20250096,79,C
20250089,79,C
20250027,79,C
20250014,78,C
20250018,78,C
20250092,78,C
20250061,78,C
20250082,77,C
20250031,77,C
20250042,76,C
20250004,76,C
20250028,75,C
20250068,74,C
20250076,73,C
20250071,72,C
20250081,71,C
20250021,71,C
20250040,71,C
20250099,70,C
20250020,70,C
20250030,70,D
20250048,70,D
20250001,69,D
20250062,68,D
20250011,67,D
20250067,66,D
20250065,65,D
20250095,65,D
20250024,65,D
20250013,65,D
20250041,63,D
20250079,63,D
20250054,63,D
20250053,63,D
20250008,61,D
20250098,61,D
20250025,61,D
20250074,60,D
20250037,59,D
20250088,59,D
20250064,57,D
20250036,57,D
20250006,56,D
20250049,54,D
20250097,54,D
20250039,53,D
20250084,53,D
20250010,53,D
20250005,53,D
20250086,52,D
20250080,52,D
20250003,51,D
20250017,50,D
20250073,50,D
20250046,50,D
